,Loc,Value,ISO-3
0,Arménie,15,ARM
1,Grèce,64,GRC
2,États-Unis,187,USA
3,Australie,28,AUS
4,Afghanistan,511,AFG
5,Syrie,317,SYR
6,Tunisie,148,TUN
7,Nigeria,30,NGA
8,Niger,35,NER
9,Etats-Unis,58,USA
10,Algérie,598,DZA
11,Rwanda,42,RWA
12,Pologne,79,POL
13,Lituanie,9,LTU
14,Lettonie,5,LVA
15,Bélarus,32,BLR
16,Turquie,209,TUR
17,Irak,110,IRQ
18,Belarus,6,BLR
19,Russie,91,RUS
20,Yémen,12,YEM
21,Belgique,125,BEL
22,Espagne,116,ESP
23,Maroc,274,MAR
24,Pakistan,77,PAK
25,Chine,101,CHN
26,Ukraine,17,UKR
27,Italie,248,ITA
28,Portugal,41,PRT
29,Roumanie,45,ROU
30,Pays-Bas,46,NLD
31,Sénégal,88,SEN
32,Géorgie,14,GEO
33,Qatar,28,QAT
34,Suède,54,SWE
35,Royaume-Uni,138,GBR
36,Égypte,16,EGY
37,Autriche,66,AUT
38,Suisse,63,CHE
39,Danemark,26,DNK
40,Israël,72,ISR
41,Iran,42,IRN
42,Irlande,20,IRL
43,Taïwan,6,TWN
44,Japon,25,JPN
45,Singapour,8,SGP
46,Mali,203,MLI
47,Libye,109,LBY
48,Comores,21,COM
49,Brésil,31,BRA
50,Guinée,57,GIN
51,Soudan,45,SDN
52,Slovaquie,6,SVK
53,Hongrie,44,HUN
54,Kosovo,22,XKX
55,Congo,11,COG
56,Monaco,2,MCO
57,Mexique,13,MEX
58,Burkina Faso,18,BFA
59,Canada,27,CAN
60,Bénin,16,BEN
61,Madagascar,5,MDG
62,Pérou,5,PER
63,Érythrée,14,ERI
64,Luxembourg,10,LUX
65,Slovénie,13,SVN
66,Gambie,2,GMB
67,Inde,30,IND
68,Burundi,2,BDI
69,Mozambique,3,MOZ
70,Haïti,35,HTI
71,Taiwan,4,TWN
72,Moldavie,6,MDA
73,Mauritanie,9,MRT
74,Nouvelle-Zélande,27,NZL
75,Somalie,23,SOM
76,Philippines,4,PHL
77,Tanzanie,3,TZA
78,Djibouti,6,DJI
79,Grenade,4,GRD
80,Albanie,10,ALB
81,Palestine,8,PSE
82,Tchad,6,TCD
83,Kenya,9,KEN
84,Ouganda,2,UGA
85,Tadjikistan,10,TJK
86,Ouzbékistan,2,UZB
87,Colombie,14,COL
88,Venezuela,11,VEN
