,Loc,Value,ISO-3
0,Burkina Faso,30,BFA
1,France,313,FRA
2,États-Unis,84,USA
3,Niger,45,NER
4,Russie,79,RUS
5,Syrie,50,SYR
6,Israël,33,ISR
7,Qatar,7,QAT
8,Djibouti,3,DJI
9,Ghana,2,GHA
10,Tchad,21,TCD
11,Royaume-Uni,5,GBR
12,Grèce,6,GRC
13,Espagne,8,ESP
14,Italie,19,ITA
15,Norvège,2,NOR
16,Chine,11,CHN
17,Ukraine,10,UKR
18,Irak,16,IRQ
19,Brésil,6,BRA
20,Liban,6,LBN
21,Afghanistan,9,AFG
22,Libye,41,LBY
23,Jordanie,4,JOR
24,Sénégal,5,SEN
25,Algérie,20,DZA
26,Yémen,2,YEM
27,Turquie,29,TUR
28,Égypte,2,EGY
29,Soudan,2,SDN
30,Nigeria,10,NGA
