,Loc,Value,ISO-3
0,France,1516,FRA
1,Niger,454,NER
2,Libye,460,LBY
3,Algérie,672,DZA
4,Burkina Faso,460,BFA
5,Italie,21,ITA
6,Togo,230,TGO
7,Maroc,295,MAR
8,Égypte,52,EGY
9,Russie,520,RUS
10,Chine,141,CHN
11,Tunisie,156,TUN
12,États-Unis,330,USA
13,Turquie,92,TUR
14,Iran,16,IRN
15,Koweït,3,KWT
16,Jordanie,9,JOR
17,Qatar,10,QAT
18,Sénégal,276,SEN
19,Gambie,14,GMB
20,Cameroun,125,CMR
21,Nigeria,97,NGA
22,Ghana,39,GHA
23,Sierra Leone,8,SLE
24,Burundi,20,BDI
25,Bénin,71,BEN
26,Guinée-Bissau,12,GNB
27,Guinée,122,GIN
28,Kenya,10,KEN
29,Rwanda,19,RWA
30,Roumanie,4,ROU
31,Syrie,107,SYR
32,Liban,10,LBN
33,Afghanistan,63,AFG
34,Tchad,251,TCD
35,Soudan,43,SDN
36,Mauritanie,92,MRT
37,Gabon,12,GAB
38,Grèce,4,GRC
39,Canada,33,CAN
40,Norvège,6,NOR
41,Éthiopie,6,ETH
42,Suisse,6,CHE
43,Centrafrique,34,CAF
44,Vietnam,4,VNM
45,Belgique,11,BEL
46,Somalie,6,SOM
47,Irak,40,IRQ
48,Royaume-Uni,30,GBR
49,Israël,30,ISR
50,Venezuela,12,VEN
51,Colombie,2,COL
52,Pakistan,6,PAK
53,Inde,32,IND
54,Pologne,6,POL
55,Autriche,4,AUT
56,Arménie,2,ARM
57,Madagascar,5,MDG
58,Bahreïn,9,BHR
59,Yémen,11,YEM
60,Espagne,24,ESP
61,Estonie,4,EST
62,Pays-Bas,6,NLD
63,Portugal,4,PRT
64,Suède,2,SWE
