,Loc,Value,ISO-3
0,Éthiopie,1005,ETH
1,États-Unis,1443,USA
2,Israël,756,ISR
3,Palestine,48,PSE
4,Somalie,145,SOM
5,Libye,258,LBY
6,Turquie,96,TUR
7,Algérie,774,DZA
8,Niger,1092,NER
9,Burkina Faso,862,BFA
10,Cameroun,846,CMR
11,Soudan,381,SDN
12,Bénin,257,BEN
13,France,3047,FRA
14,Tchad,538,TCD
15,Chine,422,CHN
16,Cuba,14,CUB
17,Etats-Unis,32,USA
18,Maroc,259,MAR
19,Érythrée,83,ERI
20,Nigeria,218,NGA
21,Burundi,217,BDI
22,Syrie,116,SYR
23,Iran,432,IRN
24,Centrafrique,614,CAF
25,Égypte,127,EGY
26,Royaume-Uni,27,GBR
27,Sénégal,553,SEN
28,Afghanistan,52,AFG
29,Djibouti,181,DJI
30,Belgique,21,BEL
31,Mauritanie,76,MRT
32,Mozambique,365,MOZ
33,Rwanda,57,RWA
34,Zimbabwe,56,ZWE
35,Russie,937,RUS
36,Ghana,163,GHA
37,Italie,20,ITA
38,Tunisie,147,TUN
39,Nigéria,89,NGA
40,Bahreïn,6,BHR
41,Yémen,35,YEM
42,Guinée,175,GIN
43,Canada,14,CAN
44,Irak,33,IRQ
45,Liban,10,LBN
46,Tanzanie,33,TZA
47,Angola,15,AGO
48,Togo,61,TGO
49,soudan,4,SDN
50,Gabon,216,GAB
51,Grèce,7,GRC
52,Egypte,16,EGY
53,Suisse,45,CHE
54,Kenya,128,KEN
55,Zambie,33,ZMB
56,Venezuela,39,VEN
57,Botswana,5,BWA
58,Danemark,17,DNK
59,Norvège,6,NOR
60,Indonésie,2,IDN
61,Congo,33,COG
62,Madagascar,75,MDG
63,Israel,3,ISR
64,Portugal,18,PRT
