,Loc,Value,ISO-3
0,Algérie,3467,DZA
1,Maroc,2072,MAR
2,Gabon,64,GAB
3,Russie,6462,RUS
4,Vietnam,55,VNM
5,Serbie,95,SRB
6,Syrie,1731,SYR
7,Afghanistan,943,AFG
8,États-Unis,5934,USA
9,Chine,2834,CHN
10,Iran,2220,IRN
11,Ukraine,870,UKR
12,Ouganda,56,UGA
13,Royaume-Uni,1074,GBR
14,Espagne,461,ESP
15,Autriche,117,AUT
16,Bangladesh,19,BGD
17,Italie,1067,ITA
18,Irlande,31,IRL
19,Tunisie,927,TUN
20,Islande,18,ISL
21,Irak,549,IRQ
22,Jordanie,46,JOR
23,Congo,81,COG
24,Tadjikistan,24,TJK
25,Centrafrique,203,CAF
26,Australie,551,AUS
27,Yémen,211,YEM
28,Brésil,284,BRA
29,Mali,1796,MLI
30,Etats-Unis,107,USA
31,Bahreïn,46,BHR
32,Cuba,124,CUB
33,Mexique,133,MEX
34,Pologne,344,POL
35,Belgique,406,BEL
36,Koweït,26,KWT
37,Sénégal,525,SEN
38,Japon,233,JPN
39,Argentine,53,ARG
40,Niger,402,NER
41,Libye,1522,LBY
42,Qatar,259,QAT
43,Égypte,364,EGY
44,Burkina Faso,364,BFA
45,Suède,117,SWE
46,Mauritanie,120,MRT
47,Tchad,356,TCD
48,Nigeria,123,NGA
49,Moldavie,7,MDA
50,Suisse,208,CHE
51,Bulgarie,56,BGR
52,Cameroun,740,CMR
53,Andorre,25,AND
54,Canada,610,CAN
55,Albanie,29,ALB
56,Arménie,330,ARM
57,Bahamas,6,BHS
58,Finlande,46,FIN
59,Soudan,147,SDN
60,Israël,982,ISR
61,Liban,1039,LBN
62,Turquie,2428,TUR
63,Pérou,24,PER
64,Ghana,45,GHA
65,Bénin,128,BEN
66,Togo,189,TGO
67,Inde,588,IND
68,Rwanda,288,RWA
69,Luxembourg,37,LUX
70,Colombie,59,COL
71,Kenya,45,KEN
72,Zambie,9,ZMB
73,Éthiopie,54,ETH
74,Indonésie,47,IDN
75,Kazakhstan,21,KAZ
76,Grèce,476,GRC
77,Chypre,78,CYP
78,Jamaïque,2,JAM
79,Bolivie,37,BOL
80,Estonie,26,EST
81,Croatie,70,HRV
82,Ouzbékistan,19,UZB
83,Kosovo,195,XKX
84,Russie2/2©,2,RUS
85,Thaïlande,26,THA
86,Roumanie,54,ROU
87,Chili,31,CHL
88,Venezuela,808,VEN
89,Haïti,106,HTI
90,Pakistan,119,PAK
91,Portugal,111,PRT
92,Équateur,43,ECU
93,Hongrie,109,HUN
94,Nouvelle-Zélande,58,NZL
95,Eswatini,6,SWZ
96,Danemark,111,DNK
97,Comores,10,COM
98,Guatemala,8,GTM
99,Uruguay,4,URY
100,Vatican,33,VAT
101,Pays-Bas,181,NLD
102,Palestine,72,PSE
103,Samoa,2,WSM
104,Norvège,61,NOR
105,Paraguay,4,PRY
106,Angola,29,AGO
107,Liberia,2,LBR
108,Sierra Leone,7,SLE
109,Oman,7,OMN
110,Kirghizistan,8,KGZ
111,Philippines,19,PHL
112,Singapour,26,SGP
113,Madagascar,63,MDG
114,Seychelles,4,SYC
115,Guinée,167,GIN
116,Somalie,29,SOM
117,Mongolie,4,MNG
118,Lettonie,28,LVA
119,Egypte,15,EGY
120,Malaisie,15,MYS
121,Géorgie,26,GEO
122,Nigéria,22,NGA
123,Monténégro,22,MNE
124,Slovaquie,37,SVK
125,Malte,17,MLT
126,Lituanie,34,LTU
127,Vénézuéla,10,VEN
128,Djibouti,13,DJI
129,Nicaragua,4,NIC
130,Gambie,24,GMB
131,Panama,10,PAN
132,suisse,2,CHE
133,Bosnie-Herzégovine,6,BIH
134,Saint-Marin,25,SMR
135,Yemen,2,YEM
136,Brunei,4,BRN
