,Loc,Value,ISO-3
0,Mali,3807,MLI
1,Somalie,209,SOM
2,Liban,1091,LBN
3,Tchad,567,TCD
4,Libye,708,LBY
5,États-Unis,5945,USA
6,Turquie,1085,TUR
7,Algérie,1335,DZA
8,Niger,1002,NER
9,Burkina Faso,839,BFA
10,Cameroun,976,CMR
11,Soudan,506,SDN
12,Centrafrique,778,CAF
13,Syrie,2186,SYR
14,Chine,1871,CHN
15,Sénégal,607,SEN
16,Iran,5670,IRN
17,Russie,3766,RUS
18,Israël,3039,ISR
19,Maroc,684,MAR
20,Taïwan,80,TWN
21,Palestine,122,PSE
22,Irak,799,IRQ
23,Bénin,280,BEN
24,Venezuela,299,VEN
25,Chypre,65,CYP
26,Éthiopie,1118,ETH
27,Madagascar,93,MDG
28,Mozambique,420,MOZ
29,Burundi,285,BDI
30,Pologne,186,POL
31,Royaume-Uni,319,GBR
32,Yémen,456,YEM
33,Tunisie,369,TUN
34,Égypte,291,EGY
35,Etats-Unis,167,USA
36,Comores,38,COM
37,Inde,167,IND
38,Japon,86,JPN
39,Australie,201,AUS
40,Djibouti,283,DJI
41,Grèce,175,GRC
42,Italie,160,ITA
43,Géorgie,42,GEO
44,Nigeria,239,NGA
45,Ghana,179,GHA
46,Lituanie,12,LTU
47,Canada,88,CAN
48,Rwanda,74,RWA
49,Belgique,62,BEL
50,Estonie,11,EST
51,Danemark,70,DNK
52,Mauritanie,97,MRT
53,Érythrée,108,ERI
54,Zimbabwe,66,ZWE
55,Irlande,9,IRL
56,Norvège,60,NOR
57,Kenya,149,KEN
58,Guinée,240,GIN
59,Guinée-Équatoriale,2,GNQ
60,Gabon,287,GAB
61,Roumanie,14,ROU
62,Croatie,12,HRV
63,Koweït,13,KWT
64,Angola,19,AGO
65,Espagne,41,ESP
66,Nigéria,93,NGA
67,Suisse,86,CHE
68,Jordanie,44,JOR
69,Togo,37,TGO
70,Afghanistan,413,AFG
71,Azerbaïdjan,72,AZE
72,Arménie,74,ARM
73,Ukraine,394,UKR
74,Egypte,34,EGY
75,Autriche,9,AUT
76,Cuba,59,CUB
77,Bahreïn,29,BHR
78,Suède,46,SWE
79,Pakistan,48,PAK
80,Zambie,21,ZMB
81,Qatar,61,QAT
82,Islande,3,ISL
83,Senegal,2,SEN
84,Bolivie,16,BOL
85,Vénézuéla,6,VEN
86,Botswana,5,BWA
87,Brésil,38,BRA
88,Congo,37,COG
89,Hongrie,32,HUN
90,Bélarus,2,BLR
91,Indonésie,15,IDN
92,Colombie,8,COL
93,Palaos,2,PLW
94,Serbie,23,SRB
95,Kosovo,8,XKX
96,Tanzanie,52,TZA
97,Vietnam,21,VNM
98,Kazakhstan,4,KAZ
99,Kirghizistan,12,KGZ
100,Tadjikistan,42,TJK
101,Ouganda,100,UGA
102,Portugal,36,PRT
